primaryTitle,genres,startYear
Candyman,"Horror,Thriller",1992
Captain America,"Action,Adventure,Sci-Fi",1990
Céline,Drama,1992
Chaplin,"Biography,Comedy,Drama",1992
Chechu y familia,Comedy,1992
City of Joy,"Crime,Drama",1992
Consenting Adults,"Crime,Drama,Mystery",1992
All Ladies Do It,"Comedy,Drama",1992
Cronos,"Drama,Fantasy,Horror",1992
Dark Horse,"Drama,Family",1992
Death Becomes Her,"Comedy,Fantasy,Horror",1992
Dharavi,"Crime,Drama",1992
Double X: The Name of the Game,"Crime,Drama,Thriller",1992
Far and Away,"Adventure,Drama,Romance",1992
Damage,"Drama,Romance",1992
FernGully: The Last Rainforest,"Adventure,Animation,Family",1992
A Few Good Men,"Drama,Thriller",1992
Forever Young,"Drama,Romance,Sci-Fi",1992
Geet,Drama,1992
Gladiator,"Action,Drama,Sport",1992
Glengarry Glen Ross,"Crime,Drama,Mystery",1992
The Hand That Rocks the Cradle,"Drama,Thriller",1992
Black Cat 2,"Action,Crime,Thriller",1992
Hellraiser III: Hell on Earth,Horror,1992
Home Alone 2: Lost in New York,"Adventure,Comedy,Crime",1992
Honeymoon in Vegas,"Comedy,Romance,Thriller",1992
HouseSitter,"Comedy,Romance",1992
Howards End,"Drama,Romance",1992
Innocent Blood,"Action,Comedy,Crime",1992
Jamon Jamon,"Comedy,Drama,Romance",1992
Jeevan Ek Sanghursh,Drama,1990
Supercop,"Action,Comedy,Crime",1992
Jo Jeeta Wohi Sikandar,"Comedy,Drama,Romance",1992
Khiladi,"Action,Comedy,Musical",1992
Khuda Gawah,"Action,Adventure,Drama",1992
Kuffs,"Action,Comedy,Crime",1992
Hard Boiled,"Action,Crime,Thriller",1992
The Last of the Mohicans,"Action,Adventure,Drama",1992
A League of Their Own,"Comedy,Drama,Sport",1992
Lethal Weapon 3,"Action,Crime,Thriller",1992
Erotic Ghost Story III,"Fantasy,Horror,Thriller",1992
Little Nemo: Adventures in Slumberland,"Adventure,Animation,Comedy",1989
Lorenzo's Oil,"Biography,Drama",1992
Bitter Moon,"Drama,Romance,Thriller",1992
Malcolm X,"Biography,Drama,History",1992
Malizia 2000,Drama,1991
Three Days of a Blind Girl,"Drama,Horror,Thriller",1993
Memoirs of an Invisible Man,"Comedy,Romance,Sci-Fi",1992
Mere Sajana Saath Nibhana,"Drama,Musical",1992
Mr. Saturday Night,"Comedy,Drama",1992
Muqabla,"Action,Crime,Drama",1993
My Cousin Vinny,"Comedy,Crime",1992
Netherworld,Horror,1992
Nishchaiy,"Action,Drama,Romance",1992
Of Mice and Men,"Drama,Western",1992
The Opposite Sex and How to Live with Them,"Comedy,Romance",1992
Passenger 57,"Action,Crime,Thriller",1992
Patriot Games,"Action,Thriller",1992
Poison Ivy,"Drama,Thriller",1992
Pratikar,"Action,Crime,Drama",1991
Ram Ke Naam,Documentary,1992
Reservoir Dogs,"Crime,Thriller",1992
Roja,"Drama,Musical,Romance",1992
Sex and Zen,"Comedy,Drama,Fantasy",1991
Scent of a Woman,Drama,1992
School Ties,Drama,1992
Shola Aur Shabnam,"Action,Comedy,Drama",1992
Twin Dragons,"Action,Comedy",1992
Single White Female,"Drama,Thriller",1992
Sleepwalkers,"Fantasy,Horror",1992
Suryavanshi,"Action,Fantasy,Horror",1992
Tadipaar,"Action,Drama",1993
Forbidden Homework,"Comedy,Drama",1992
That Night,"Drama,Romance",1992
Thevar Magan,"Action,Drama,Romance",1992
Thunderheart,"Crime,Mystery,Thriller",1992
Tirangaa,"Action,Drama,Thriller",1993
Tom and Jerry: The Movie,"Adventure,Animation,Comedy",1992
Tokyo Decadence,Drama,1992
Toys,"Adventure,Comedy,Drama",1992
Under Siege,"Action,Thriller",1992
Unforgiven,"Drama,Western",1992
Universal Soldier,"Action,Sci-Fi",1992
Unlawful Entry,"Crime,Drama,Thriller",1992
Used People,"Comedy,Drama,Romance",1992
Wayne's World,"Comedy,Music",1992
Whispers in the Dark,"Drama,Mystery,Thriller",1992
Wild Orchid II: Two Shades of Blue,"Drama,Romance",1991
Yalgaar,"Action,Drama,Thriller",1992
Aaina,"Drama,Romance",1993
Aankhen,"Action,Comedy,Crime",1993
Aashik Aawara,Drama,1993
Addams Family Values,"Comedy,Fantasy",1993
Aadmi Khilona Hai,"Drama,Romance",1993
The Adventures of Huck Finn,"Adventure,Comedy,Drama",1993
The Age of Innocence,"Drama,Romance",1993
Alive,"Biography,Drama,Thriller",1993
Anmol,"Drama,Family,Romance",1993
Army of Darkness,"Comedy,Horror",1992
Baazigar,"Crime,Drama,Musical",1993
Bad Boy Bubby,"Comedy,Crime,Drama",1993
The Ballad of Little Jo,"Drama,Romance,Western",1993
Batman: Mask of the Phantasm,"Action,Adventure,Animation",1993
Beach Babes from Beyond,"Comedy,Sci-Fi",1993
Beyond Bedlam,"Comedy,Horror,Mystery",1994
Blue,"Biography,Drama",1993
Body Snatchers,"Horror,Sci-Fi",1993
Body of Evidence,"Drama,Thriller",1993
Boxing Helena,"Drama,Mystery,Romance",1993
A Bronx Tale,"Crime,Drama",1993
Carlito's Way,"Crime,Drama,Thriller",1993
The Cement Garden,Drama,1993
Chinese Kamasutra,"Fantasy,Romance",1994
Cliffhanger,"Action,Adventure,Thriller",1993
Cold Sweat,"Drama,Romance,Thriller",1993
The Crush,"Crime,Drama,Romance",1993
Dalaal,"Action,Crime,Drama",1993
Damini,"Crime,Drama",1993
The Dark Half,"Horror,Mystery,Thriller",1993
Dazed and Confused,Comedy,1993
I Don't Want to Talk About It,"Drama,Romance",1993
Demolition Man,"Action,Sci-Fi,Thriller",1993
Doppelganger,"Horror,Romance,Thriller",1993
Falling Down,"Crime,Drama,Thriller",1993
Fatal Past,"Drama,Thriller",1994
Fifty/Fifty,"Action,Adventure,Comedy",1992
The Firm,"Drama,Mystery,Thriller",1993
Fit to Kill,"Action,Crime,Drama",1993
Free Willy,"Adventure,Drama,Family",1993
The Fugitive,"Action,Crime,Drama",1993
Godzilla vs. Mechagodzilla II,"Action,Adventure,Drama",1993
The Good Son,"Drama,Thriller",1993
Groundhog Day,"Comedy,Drama,Fantasy",1993
Gumrah,"Action,Crime,Drama",1993
Hard Target,"Action,Crime,Thriller",1993
Hocus Pocus,"Comedy,Family,Fantasy",1993
Homeward Bound: The Incredible Journey,"Adventure,Comedy,Drama",1993
Hot Shots! Part Deux,"Action,Comedy",1993
The House of Pleasure,Drama,1994
The House of the Spirits,"Drama,Romance",1993
Golden Balls,"Comedy,Drama",1993
Hum Hain Rahi Pyar Ke,"Comedy,Drama,Romance",1993
In the Line of Fire,"Action,Crime,Drama",1993
In the Name of the Father,"Biography,Crime,Drama",1993
Indecent Proposal,"Drama,Romance",1993
Jurassic Park,"Action,Adventure,Sci-Fi",1993
Khalnayak,"Action,Adventure,Crime",1993
King Uncle,"Comedy,Drama,Family",1993
Last Action Hero,"Action,Adventure,Comedy",1993
Little Buddha,Drama,1993
Lootere,"Action,Crime,Romance",1993
"Married People, Single Sex","Drama,Thriller",1994
Crazy Love,"Comedy,Romance",1993
Daughter of Darkness,"Comedy,Horror,Thriller",1993
Mother's Boys,"Drama,Thriller",1993
Mrs. Doubtfire,"Comedy,Drama,Family",1993
My Boyfriend's Back,"Comedy,Fantasy,Horror",1993
Naked,"Comedy,Drama",1993
The Nightmare Before Christmas,"Adventure,Animation,Family",1993
Nowhere to Run,"Action,Drama,Romance",1993
The Nutcracker,"Family,Fantasy,Music",1991
Padma Nadir Majhi,Drama,1993
Parampara,"Action,Drama,Romance",1993
The Pelican Brief,"Crime,Drama,Mystery",1993
A Perfect World,"Crime,Drama,Thriller",1993
Philadelphia,Drama,1993
Phool Aur Angaar,"Action,Drama",1993
The Piano,"Drama,Music,Romance",1993
Point of No Return,"Action,Crime,Drama",1993
Prateeksha,"Action,Crime",1993
Prison Heat,"Crime,Drama,Thriller",1993
Rising Sun,"Action,Crime,Drama",1993
RoboCop 3,"Action,Crime,Sci-Fi",1993
Roop Ki Rani Choron Ka Raja,"Action,Drama,Musical",1993
Rudy,"Biography,Drama,Sport",1993
The Sandlot,"Comedy,Drama,Family",1993
Save Me,"Mystery,Thriller",1994
Schindler's List,"Biography,Drama,History",1993
Searching for Bobby Fischer,"Biography,Drama,Sport",1993
Flying Dagger,"Comedy,Fantasy",1993
Sex for Sale,"Action,Crime",1993
Sleepless in Seattle,"Comedy,Drama,Romance",1993
Sliver,"Drama,Thriller",1993
Stalingrad,"Drama,War",1993
Striking Distance,"Action,Crime,Mystery",1993
Super Mario Bros.,"Adventure,Comedy,Family",1993
The Seventh Horse of the Sun,"Drama,Romance",1992
The Vampire Wedding,"Adventure,Comedy,Fantasy",1993
Thiruda Thiruda,"Action,Crime,Drama",1993
This Boy's Life,"Biography,Drama",1993
Tombstone,"Biography,Drama,History",1993
Totally F***ed Up,"Comedy,Drama,Romance",1993
Three Colors: Blue,"Drama,Music,Mystery",1993
True Romance,"Crime,Drama,Romance",1993
Untamed Heart,"Drama,Romance",1993
The Vanishing,"Drama,Horror,Mystery",1993
We're Back! A Dinosaur's Story,"Adventure,Animation,Comedy",1993
What's Eating Gilbert Grape,Drama,1993
Woman of Desire,"Drama,Mystery,Thriller",1994
Kung Fu Cult Master,"Action,Fantasy,History",1993
1942: A Love Story,"Action,Drama,History",1994
Ace Ventura: Pet Detective,Comedy,1994
Andaz Apna Apna,"Action,Comedy,Romance",1994
Anjaam,"Crime,Drama,Thriller",1994
Baby's Day Out,"Adventure,Comedy,Crime",1994
Bad Girls,"Action,Adventure,Drama",1994
Bandit Queen,"Biography,Crime,Drama",1994
Barcelona,"Comedy,Drama,Romance",1994
Beverly Hills Cop III,"Action,Comedy,Crime",1994
Girls Unbutton,"Comedy,Romance",1994
The Chase,"Action,Adventure,Comedy",1994
Naked Killer,"Action,Crime,Thriller",1992
Chungking Express,"Comedy,Crime,Drama",1994
Clean Slate,"Comedy,Mystery",1994
Clear and Present Danger,"Action,Crime,Drama",1994
Clerks,Comedy,1994
The Client,"Crime,Drama,Mystery",1994
Color of Night,"Drama,Mystery,Romance",1994
"Corrina, Corrina","Comedy,Drama,Romance",1994
The Crow,"Action,Crime,Drama",1994
Darr,"Action,Drama,Romance",1993
Death Machine,"Action,Horror,Sci-Fi",1994
Death and the Maiden,"Drama,Mystery,Thriller",1994
Delta of Venus,Drama,1995
Dinosaur Island,"Adventure,Comedy,Fantasy",1994
Disclosure,"Drama,Thriller",1994
Dream Lover,"Drama,Mystery,Thriller",1994
Dumb and Dumber,Comedy,1994
Cold Water,Drama,1994
Ed Wood,"Biography,Comedy,Drama",1994
Eena Meena Deeka,"Action,Comedy,Crime",1994
Embrace of the Vampire,"Horror,Thriller",1995
Exotica,Drama,1994
Eyes of the Serpent,"Action,Adventure,Fantasy",1994
The Fantastic Four,"Action,Adventure,Family",1994
The Flintstones,"Comedy,Family,Fantasy",1994
Forrest Gump,"Drama,Romance",1994
Four Weddings and a Funeral,"Comedy,Drama,Romance",1994
Frankenstein,"Drama,Horror,Romance",1994
Gopi Kishan,"Action,Comedy,Drama",1994
Heavenly Creatures,"Biography,Crime,Drama",1994
Hong tian mi ling,"Action,Thriller",1994
Hoop Dreams,"Documentary,Drama,Sport",1994
Hum Aapke Hain Koun..!,"Comedy,Drama,Musical",1994
Immortal Beloved,"Biography,Drama,Music",1994
Interview with the Vampire,"Drama,Fantasy,Horror",1994
It Could Happen to You,"Comedy,Drama,Romance",1994
Janmadaata,"Drama,Family",1994
Kabhi Haan Kabhi Naa,"Comedy,Drama,Music",1994
Revolutionary,"Action,Crime,Drama",1994
Lassie,"Adventure,Family",1994
The Last Seduction,"Crime,Drama,Romance",1994
Legends of the Fall,"Drama,Romance,War",1994
The Lion King,"Adventure,Animation,Drama",1994
The Little Rascals,"Comedy,Family,Romance",1994
Little Women,"Drama,Family,Romance",1994
Lost in Africa,"Action,Adventure",1994
Léon: The Professional,"Action,Crime,Drama",1994
Main Khiladi Tu Anari,"Action,Comedy,Drama",1994
Majha Chakula,Drama,1994
The Mask,"Comedy,Crime,Fantasy",1994
Maverick,"Action,Adventure,Comedy",1994
Daughter of Darkness 2,"Comedy,Thriller",1994
Milk Money,"Comedy,Romance",1994
Miracle on 34th Street,"Drama,Family,Fantasy",1994
Mohra,"Action,Drama,Thriller",1994
My Girl 2,"Comedy,Drama,Family",1994
Naked Gun 33 1/3: The Final Insult,"Comedy,Crime",1994
Naked in New York,"Comedy,Romance",1993
Natural Born Killers,"Crime,Romance",1994
Nell,Drama,1994
Nina Takes a Lover,"Comedy,Drama,Romance",1994
No Escape,"Action,Drama,Sci-Fi",1994
Of Love and Shadows,"Drama,Romance,Thriller",1994
Once Were Warriors,"Crime,Drama",1994
The Paper,"Comedy,Drama",1994
A Passion to Kill,"Drama,Mystery,Thriller",1994
Payback,Thriller,1995
Play Time,"Drama,Romance",1995
The Postman,"Biography,Comedy,Drama",1994
Paramaatma,"Action,Drama,Fantasy",1994
Private Lessons: Another Story,Drama,1994
Pulp Fiction,"Crime,Drama",1994
Raja Babu,"Comedy,Drama,Romance",1994
Richie Rich,"Comedy,Family",1994
The River Wild,"Adventure,Crime,Thriller",1994
The Silences of the Palace,Drama,1994
Sangharsh,"Action,Crime,Drama",1999
The Santa Clause,"Comedy,Drama,Family",1994
Sasarche Dhotar,Comedy,1994
Scorned,"Drama,Thriller",1993
Secret Games 3,"Drama,Thriller",1995
Serial Mom,"Comedy,Crime,Thriller",1994
The Other Man,Thriller,1994
Shallow Grave,"Crime,Drama,Thriller",1994
The Shawshank Redemption,Drama,1994
I Wanna Be Your Man,Romance,1994
Sirens,"Comedy,Drama,Romance",1994
Sister My Sister,"Drama,Thriller",1994
Sleep with Me,"Comedy,Drama,Romance",1994
Foxy Lady,Thriller,1992
Rock and Roll Fantasy,"Comedy,Romance",1994
The Smile,"Comedy,Drama",1994
Spanking the Monkey,"Comedy,Drama",1994
The Specialist,"Action,Drama,Thriller",1994
Speed,"Action,Adventure,Thriller",1994
Star Trek: Generations,"Action,Adventure,Mystery",1994
Stargate,"Action,Adventure,Sci-Fi",1994
Street Fighter,"Action,Adventure,Comedy",1994
Suhaag,"Action,Comedy,Drama",1994
Swaham,Drama,1994
The Tit and the Moon,"Comedy,Romance",1994
Threesome,"Comedy,Drama,Romance",1994
Timecop,"Action,Crime,Sci-Fi",1994
True Lies,"Action,Comedy,Thriller",1994
Three Colors: White,"Comedy,Drama,Romance",1994
Drunken Master II,"Action,Comedy",1994
Undefeatable,"Action,Crime,Thriller",1993
Unishe April,Drama,1994
The Voyeur,"Drama,Romance",1994
Vazir,"Action,Crime,Drama",2015
Vijaypath,"Action,Drama,Musical",1994
New Nightmare,"Fantasy,Horror,Mystery",1994
Wolf,"Drama,Horror,Romance",1994
Wyatt Earp,"Adventure,Biography,Drama",1994
Yaar Gaddar,"Action,Drama,Mystery",1994
Yankee Zulu,"Comedy,Drama",1993
Yeh Dillagi,"Comedy,Drama,Musical",1994
Aao Pyaar Karen,Romance,1994
Ab Insaf Hoga,"Action,Drama",1995
Ace Ventura: When Nature Calls,"Adventure,Comedy,Crime",1995
The Affair,"Drama,Romance",1995
The American President,"Comedy,Drama,Romance",1995
Angels and Insects,"Drama,Romance",1995
Apollo 13,"Adventure,Drama,History",1995
Assassins,"Action,Crime,Thriller",1995
An Awfully Big Adventure,"Comedy,Drama,Romance",1995
The Baby-Sitters Club,"Comedy,Drama,Family",1995
The Babysitter,"Drama,Thriller",1995
Bad Boys,"Action,Comedy,Crime",1995
My Teacher's Wife,"Comedy,Romance",1999
Ballistic,"Action,Thriller",1995
The Basketball Diaries,"Biography,Crime,Drama",1995
Batman Forever,"Action,Adventure",1995
Before Sunrise,"Comedy,Drama,Romance",1995
Bombay,"Drama,Musical,Romance",1995
Braveheart,"Biography,Drama,War",1995
The Bridges of Madison County,"Drama,Romance",1995
Sex & the Other Man,"Comedy,Drama",1995
Casino,"Crime,Drama",1995
Casper,"Comedy,Family,Fantasy",1995
Circle of Friends,"Drama,Romance",1995
Clueless,"Comedy,Romance",1995
Congo,"Action,Adventure,Mystery",1995
Copycat,"Drama,Mystery,Thriller",1995
Criminal,"Action,Romance,Thriller",1994
Crimson Tide,"Action,Drama,Thriller",1995
Desperado,"Action,Crime,Drama",1995
Die Hard with a Vengeance,"Action,Adventure,Thriller",1995
Dilwale Dulhania Le Jayenge,"Drama,Romance",1995
Diya Aur Toofan,"Action,Drama,Thriller",1995
Don Juan DeMarco,"Comedy,Drama,Romance",1994
The Don,"Action,Crime,Drama",1995
The Doom Generation,"Comedy,Crime,Drama",1995
Fallen Angels,"Comedy,Crime,Drama",1995
Dushmani: A Violent Love Story,"Action,Drama,Romance",1995
Electra,"Action,Sci-Fi,Thriller",1996
Empire Records,"Comedy,Drama,Music",1995
Far from Home: The Adventures of Yellow Dog,"Adventure,Family",1995
P.O.Box Tinto Brass,Comedy,1995
A Single Girl,Drama,1995
First Knight,"Action,Adventure,Drama",1995
Fluke,"Drama,Family,Fantasy",1995
Frank and Ollie,Documentary,1995
French Kiss,"Comedy,Drama,Romance",1995
Friday,"Comedy,Drama",1995
Friend of the Family,Drama,1995
French Twist,"Comedy,Romance",1995
GoldenEye,"Action,Adventure,Thriller",1995
A Goofy Movie,"Adventure,Animation,Comedy",1995
Hackers,"Crime,Drama,Romance",1995
La haine,"Crime,Drama",1995
Heat,"Action,Crime,Drama",1995
It's a Long Way to the Sea,Drama,1995
Rumble in the Bronx,"Action,Comedy,Crime",1995
Huntress: Spirit of the Night,"Fantasy,Horror,Mystery",1996
Jade,"Crime,Drama,Thriller",1995
Jonah and the Pink Whale,Drama,1995
Jumanji,"Adventure,Comedy,Family",1995
Karan Arjun,"Action,Drama,Fantasy",1995
Kartavya,"Action,Drama,Thriller",1995
Kids,Drama,1995
Ghost in the Shell,"Action,Animation,Crime",1995
Last Gasp,"Horror,Thriller",1995
Leaving Las Vegas,"Drama,Romance",1995
Live Nude Girls,Comedy,1995
Love Letter,"Drama,Romance",1995
All Things Fair,"Drama,Romance,War",1995
Magic in the Water,"Adventure,Family,Fantasy",1995
Malicious,"Drama,Thriller",1995
A Chinese Torture Chamber Story,"Comedy,Drama,Horror",1994
Whisper of the Heart,"Animation,Drama,Family",1995
Money Train,"Action,Comedy,Crime",1995
Mortal Kombat,"Action,Adventure,Fantasy",1995
Naajayaz,"Action,Drama",1995
Napoleon,"Adventure,Family",1995
Naaraaz,"Action,Crime,Drama",1994
The Net,"Action,Crime,Drama",1995
Nick of Time,"Action,Crime,Drama",1995
Infatuation,Romance,1985
Nine Months,"Comedy,Romance",1995
Oh Darling Yeh Hai India,Comedy,1995
Othello,"Drama,Romance",1995
Outbreak,"Action,Drama,Thriller",1995
The Pebble and the Penguin,"Adventure,Animation,Comedy",1995
Playback,"Drama,Thriller",1996
Policewala Gunda,"Action,Crime,Drama",1995
Powder,"Drama,Fantasy,Mystery",1995
Prem,"Action,Drama,Romance",1995
The Quick and the Dead,"Action,Drama,Romance",1995
Raging Angels,"Fantasy,Horror,Thriller",1995
Raja,"Action,Comedy,Drama",1995
Ram Jaane,"Action,Crime,Drama",1995
Rangeela,"Comedy,Drama,Musical",1995
Red Lips,Horror,1995
Sabse Bada Khiladi,"Action,Crime,Thriller",1995
Sabrina,"Comedy,Drama,Romance",1995
Sarhad: The Border of Crime,"Action,Crime,Drama",1995
The Scarlet Letter,"Drama,Romance",1995
Se7en,"Crime,Drama,Mystery",1995
Sense and Sensibility,"Drama,Romance",1995
Showgirls,Drama,1995
Something to Talk About,"Comedy,Drama,Romance",1995
Species,"Action,Horror,Sci-Fi",1995
Strange Days,"Crime,Drama,Sci-Fi",1995
Street Fighter II: The Animated Movie,"Action,Adventure,Animation",1994
Sudden Death,"Action,Crime,Thriller",1995
Tales from the Crypt: Demon Knight,"Action,Fantasy,Horror",1995
Target of Seduction,"Drama,Thriller",1995
Three Wishes,"Drama,Family,Fantasy",1995
To Die For,"Comedy,Crime,Drama",1995
Toy Story,"Adventure,Animation,Comedy",1995
Trimurti,"Action,Drama",1995
Tromeo and Juliet,"Comedy,Romance",1996
12 Monkeys,"Mystery,Sci-Fi,Thriller",1995
Underground,"Comedy,Drama,Fantasy",1995
The Usual Suspects,"Crime,Drama,Mystery",1995
Village of the Damned,"Horror,Sci-Fi,Thriller",1995
A Walk in the Clouds,"Drama,Romance",1995
Waterworld,"Action,Adventure,Sci-Fi",1995
When Night Is Falling,"Drama,Romance",1995
While You Were Sleeping,"Comedy,Drama,Romance",1995
Wild Bill,"Action,Biography,Drama",1995
Yaraana,"Drama,Romance,Thriller",1995
Spider Woman,"Mystery,Thriller",1995
Little Sister,"Drama,Mystery",1995
101 Dalmatians,"Adventure,Comedy,Crime",1996
Agni Sakshi,"Drama,Musical,Romance",1996
All Dogs Go to Heaven 2,"Adventure,Animation,Family",1996
The Apartment,"Drama,Mystery,Romance",1996
Army,"Action,Drama",1996
The Associate,Comedy,1996
Beautiful Girls,"Comedy,Drama,Romance",1996
Bhishma,"Action,Thriller",1996
Big Bully,"Comedy,Thriller",1996
The Birdcage,Comedy,1996
Bound,"Crime,Thriller",1996
Breaking the Waves,Drama,1996
Broken Arrow,"Action,Adventure,Thriller",1996
Bullet,"Action,Crime,Drama",1996
Bambola,"Drama,Romance",1996
The Cable Guy,"Comedy,Drama,Thriller",1996
Carried Away,"Drama,Romance",1996
Caught,"Drama,Thriller",1996
Childhood's End,"Comedy,Drama,Romance",1996
Courage Under Fire,"Action,Drama,Mystery",1996
The Craft,"Drama,Fantasy,Horror",1996
Crash,Drama,1996
The Crucible,"Drama,History",1996
Daylight,"Action,Adventure,Drama",1996
The Dentist,"Horror,Thriller",1996
Dragon from Shaolin,"Action,Adventure,Comedy",1996
DragonHeart,"Action,Adventure,Fantasy",1996
Dunston Checks In,"Adventure,Comedy,Family",1996
In Praise of Older Women,"Drama,Romance,War",1997
The English Patient,"Drama,Romance,War",1996
Eraser,"Action,Crime,Thriller",1996
Evita,"Biography,Drama,History",1996
Executive Decision,"Action,Adventure,Thriller",1996
Eye for an Eye,"Crime,Drama,Thriller",1996
Fargo,"Crime,Drama,Thriller",1996
Fear,"Drama,Thriller",1996
Fire,"Crime,Drama,Romance",1996
Fly Away Home,"Adventure,Drama,Family",1996
The Frighteners,"Comedy,Drama,Fantasy",1996
From Dusk Till Dawn,"Action,Crime,Horror",1996
Ghatak: Lethal,"Action,Drama",1996
The Ghost and the Darkness,"Adventure,Drama,Thriller",1996
The Glimmer Man,"Action,Comedy,Crime",1996
Happy Gilmore,"Comedy,Sport",1996
In Love and War,"Biography,Drama,Romance",1996
Independence Day,"Action,Adventure,Sci-Fi",1996
Indian,"Action,Drama,Musical",1996
Intimate Relations,"Comedy,Drama",1996
The Island of Dr. Moreau,"Horror,Sci-Fi,Thriller",1996
Jerry Maguire,"Comedy,Drama,Romance",1996
Jingle All the Way,"Adventure,Comedy,Family",1996
Jude,"Drama,Romance",1996
Jung,"Action,Crime,Drama",1996
The Juror,"Crime,Drama,Thriller",1996
Kama Sutra: A Tale of Love,"Crime,Drama,History",1996
Killer Tongue,"Comedy,Horror,Sci-Fi",1996
Last Man Standing,"Action,Crime,Drama",1996
Loafer,"Action,Comedy,Drama",1996
The Long Kiss Goodnight,"Action,Crime,Drama",1996
Lost Highway,"Drama,Mystery,Thriller",1997
Maachis,"Action,Crime,Drama",1996
Magenta,"Drama,Thriller",1997
Mars Attacks!,"Comedy,Sci-Fi",1996
Mary Reilly,"Drama,Horror,Romance",1996
Matilda,"Comedy,Family,Fantasy",1996
Maximum Risk,"Action,Crime,Thriller",1996
Michael Collins,"Biography,Drama,History",1996
The Mirror Has Two Faces,"Comedy,Drama,Romance",1996
Mission: Impossible,"Action,Adventure,Thriller",1996
Mrs. Winterbourne,"Comedy,Drama,Romance",1996
Multiplicity,"Comedy,Romance,Sci-Fi",1996
No Contest II,"Action,Crime,Drama",1996
The Nutty Professor,"Comedy,Romance,Sci-Fi",1996
The People vs. Larry Flynt,"Biography,Drama",1996
The Portrait of a Lady,"Drama,Romance",1996
PremGranth,"Action,Drama,Musical",1996
Primal Fear,"Crime,Drama,Mystery",1996
The Quest,"Action,Adventure,Drama",1996
Raja Hindustani,"Action,Comedy,Drama",1996
Ransom,"Action,Crime,Drama",1996
The Rock,"Action,Adventure,Thriller",1996
Romeo + Juliet,"Drama,Romance",1996
Scorned 2,"Drama,Thriller",1997
Scorpio Nights,Drama,1985
Scream,"Horror,Mystery",1996
Viva Erotica,"Comedy,Drama",1996
She's the One,"Comedy,Drama,Romance",1996
Sleepers,"Crime,Drama,Thriller",1996
Solo,"Action,Sci-Fi,Thriller",1996
Space Jam,"Adventure,Animation,Comedy",1996
Star Trek: First Contact,"Action,Adventure,Drama",1996
Stealing Beauty,"Drama,Mystery,Romance",1996
Striptease,"Comedy,Crime,Drama",1996
Swingers,"Comedy,Drama",1996
A Time to Kill,"Crime,Drama,Thriller",1996
Tin Cup,"Comedy,Drama,Romance",1996
Trainspotting,"Crime,Drama",1996
Twister,"Action,Adventure,Thriller",1996
Two If by Sea,"Comedy,Crime,Romance",1996
Victim of Desire,"Crime,Drama,Thriller",1995
Watch Me,"Drama,Romance,Thriller",1995
The Carnal Sutra Mat III,Crime,1996
...Aur Pyaar Ho Gaya,"Comedy,Drama,Musical",1997
"Two Women, Two Men",Comedy,1997
Aar Ya Paar,"Crime,Drama,Thriller",1997
Air Bud,"Comedy,Drama,Family",1997
Air Force One,"Action,Crime,Drama",1997
Alien: Resurrection,"Action,Horror,Sci-Fi",1997
An American Werewolf in Paris,"Comedy,Fantasy,Horror",1997
Amistad,"Biography,Drama,History",1997
Anaconda,"Action,Adventure,Horror",1997
Apt Pupil,"Crime,Drama,Thriller",1998
Aunty No. 1,"Action,Comedy,Drama",1998
Austin Powers: International Man of Mystery,"Adventure,Comedy",1997
Bade Miyan Chote Miyan,"Action,Comedy,Musical",1998
Batman & Robin,"Action,Sci-Fi",1997
Bean,"Adventure,Comedy,Family",1997
In the Mood for Love,"Drama,Romance",2000
Beverly Hills Ninja,"Action,Comedy",1997
The Big Lebowski,"Comedy,Crime",1998
The Big Swap,"Drama,Romance",1998
Bliss,"Drama,Romance",1997
Boogie Nights,Drama,1997
Booty Call,"Comedy,Romance",1997
Border,"Action,Drama,History",1997
The Borrowers,"Adventure,Comedy,Family",1997
Breaking Up,"Comedy,Drama,Romance",1997
Buffalo '66,"Comedy,Drama,Romance",1998
Life Is Beautiful,"Comedy,Drama,Romance",1997
Live Flesh,Drama,1997
"Black Cat, White Cat","Comedy,Crime,Romance",1998
Children of Heaven,"Drama,Family,Sport",1997
Con Air,"Action,Crime,Thriller",1997
Contact,"Drama,Mystery,Sci-Fi",1997
Dangerous Beauty,"Biography,Drama,Romance",1998
Dance of the Wind,"Drama,Music",1997
The Dancer Upstairs,"Crime,Drama,Thriller",2002
Dante's Peak,"Action,Adventure,Thriller",1997
Dark City,"Fantasy,Mystery,Sci-Fi",1998
Deep Rising,"Action,Adventure,Horror",1998
Desperate Measures,"Action,Crime,Drama",1998
The Devil's Advocate,"Drama,Fantasy,Mystery",1997
The Devil's Own,"Action,Crime,Drama",1997
Dil To Pagal Hai,"Comedy,Drama,Musical",1997
Doctor Dolittle,"Comedy,Family,Fantasy",1998
Donnie Brasco,"Biography,Crime,Drama",1997
Double Team,"Action,Comedy,Sci-Fi",1997
Event Horizon,"Horror,Sci-Fi,Thriller",1997
Face/Off,"Action,Crime,Sci-Fi",1997
Fallen,"Action,Crime,Drama",1998
The Fifth Element,"Action,Adventure,Sci-Fi",1997
Fire Down Below,"Action,Drama,Thriller",1997
Flammen im Paradies,Drama,1997
Funny Games,"Crime,Drama,Horror",1997
G.I. Jane,"Action,Drama,War",1997
The Game,"Drama,Mystery,Thriller",1997
